Part Number,Inner Diameter,Outer Diameter,Compatible Screws,Material,System
95395A102,"0.078""","0.0156""",#1 Size,Brass,Imperial
93475A195,2.2 mm,5 mm,M2 Screws,18-8 Stainless Steel,Metric
